country,isoCode,continent,continentCode,year,halfDecade,pandemicPeriod,evChargingPoints,fastChargingPoints,slowChargingPoints,chargingPointsPerEv
Australia,AUS,Oceania,OC,2017,2015-2019,Pre-Pandemic,480.0,40.0,440.0,0.06575342465753424
Australia,AUS,Oceania,OC,2018,2015-2019,Pre-Pandemic,731.0,61.0,670.0,0.06706422018348623
Australia,AUS,Oceania,OC,2019,2015-2019,Pre-Pandemic,1700.0,0.0,1700.0,0.0825242718446602
Australia,AUS,Oceania,OC,2020,2020-2023,Pandemic,2300.0,0.0,2300.0,0.08518518518518518
Australia,AUS,Oceania,OC,2021,2020-2023,Pandemic,2320.0,320.0,2000.0,0.04828906835400883
Australia,AUS,Oceania,OC,2022,2020-2023,Post-Pandemic,2570.0,470.0,2100.0,0.029171396140749147
Australia,AUS,Oceania,OC,2023,2020-2023,Post-Pandemic,2760.0,660.0,2100.0,0.015243144727031728
Austria,AUT,Europe,EU,2011,2010-2014,Pre-Pandemic,0.200000002980232,0.100000001490116,0.100000001490116,0.00020202020503053735
Austria,AUT,Europe,EU,2012,2010-2014,Pre-Pandemic,0.200000002980232,0.100000001490116,0.100000001490116,0.00012987013180534545
Austria,AUT,Europe,EU,2013,2010-2014,Pre-Pandemic,0.200000002980232,0.100000001490116,0.100000001490116,7.968127608774183e-05
Austria,AUT,Europe,EU,2014,2010-2014,Pre-Pandemic,0.200000002980232,0.100000001490116,0.100000001490116,4.78125754196108e-05
Austria,AUT,Europe,EU,2015,2015-2019,Pre-Pandemic,0.200000002980232,0.100000001490116,0.100000001490116,3.0740855053832155e-05
Austria,AUT,Europe,EU,2016,2015-2019,Pre-Pandemic,0.200000002980232,0.100000001490116,0.100000001490116,1.7523876542559535e-05
Austria,AUT,Europe,EU,2017,2015-2019,Pre-Pandemic,0.200000002980232,0.100000001490116,0.100000001490116,1.0571383423026164e-05
Austria,AUT,Europe,EU,2018,2015-2019,Pre-Pandemic,0.200000002980232,0.100000001490116,0.100000001490116,7.483909705891034e-06
Austria,AUT,Europe,EU,2019,2015-2019,Pre-Pandemic,0.200000002980232,0.100000001490116,0.100000001490116,5.257485423102231e-06
Austria,AUT,Europe,EU,2020,2020-2023,Pandemic,0.200000002980232,0.100000001490116,0.100000001490116,3.3308352565614456e-06
Austria,AUT,Europe,EU,2021,2020-2023,Pandemic,10500.0,1600.0,8900.0,0.09900523313375136
Austria,AUT,Europe,EU,2022,2020-2023,Post-Pandemic,15600.0,2600.0,13000.0,0.10258973313516855
Austria,AUT,Europe,EU,2023,2020-2023,Post-Pandemic,17500.0,2500.0,15000.0,0.07915364400761685
Belgium,BEL,Europe,EU,2013,2010-2014,Pre-Pandemic,377.0,47.0,330.0,0.16898251904975348
Belgium,BEL,Europe,EU,2014,2010-2014,Pre-Pandemic,615.0,55.0,560.0,0.14396067415730338
Belgium,BEL,Europe,EU,2015,2015-2019,Pre-Pandemic,1377.0,77.0,1300.0,0.17706056319917707
Belgium,BEL,Europe,EU,2016,2015-2019,Pre-Pandemic,1610.0,110.0,1500.0,0.0944780235901649
Belgium,BEL,Europe,EU,2017,2015-2019,Pre-Pandemic,1720.0,220.0,1500.0,0.05465696399631383
Belgium,BEL,Europe,EU,2018,2015-2019,Pre-Pandemic,2940.0,240.0,2700.0,0.06500254261646289
Belgium,BEL,Europe,EU,2019,2015-2019,Pre-Pandemic,6460.0,360.0,6100.0,0.10471543661149925
Belgium,BEL,Europe,EU,2020,2020-2023,Pandemic,8480.0,480.0,8000.0,0.07909709915119859
Belgium,BEL,Europe,EU,2021,2020-2023,Pandemic,12790.0,790.0,12000.0,0.07311078083914485
Belgium,BEL,Europe,EU,2022,2020-2023,Post-Pandemic,24100.0,1100.0,23000.0,0.08770206045255718
Belgium,BEL,Europe,EU,2023,2020-2023,Post-Pandemic,44000.0,2000.0,42000.0,0.09187779418121224
Brazil,BRA,South America,SA,2018,2015-2019,Pre-Pandemic,30.90000009536743,4.90000009536743,26.0,0.027491103287693445
Brazil,BRA,South America,SA,2019,2015-2019,Pre-Pandemic,224.90000009536743,4.90000009536743,220.0,0.07101357754826884
Brazil,BRA,South America,SA,2020,2020-2023,Pandemic,404.90000009536743,4.90000009536743,400.0,0.0722906623987444
Brazil,BRA,South America,SA,2021,2020-2023,Pandemic,804.9000000953674,4.90000009536743,800.0,0.03964634026674059
Brazil,BRA,South America,SA,2022,2020-2023,Post-Pandemic,3004.9000000953674,4.90000009536743,3000.0,0.07128217293548493
Brazil,BRA,South America,SA,2023,2020-2023,Post-Pandemic,3804.9000000953674,4.90000009536743,3800.0,0.03938575243872396
Canada,CAN,North America,NA,2012,2010-2014,Pre-Pandemic,722.0,2.0,720.0,0.2959016393442623
Canada,CAN,North America,NA,2013,2010-2014,Pre-Pandemic,1207.0,7.0,1200.0,0.21873867343240305
Canada,CAN,North America,NA,2014,2010-2014,Pre-Pandemic,2355.0,55.0,2300.0,0.21960089518836254
Canada,CAN,North America,NA,2015,2015-2019,Pre-Pandemic,3463.0,63.0,3400.0,0.19622620126926563
Canada,CAN,North America,NA,2016,2015-2019,Pre-Pandemic,4040.0,140.0,3900.0,0.13908014321123657
Canada,CAN,North America,NA,2017,2015-2019,Pre-Pandemic,5870.0,670.0,5200.0,0.12476619622513178
Canada,CAN,North America,NA,2018,2015-2019,Pre-Pandemic,7940.0,840.0,7100.0,0.09118680662425063
Canada,CAN,North America,NA,2019,2015-2019,Pre-Pandemic,8980.0,980.0,8000.0,0.06592567577488363
Canada,CAN,North America,NA,2020,2020-2023,Pandemic,13300.0,2300.0,11000.0,0.06261157099487459
