Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,15856668555.8336,17805098206.3141,19907329777.5872,20146416757.5987,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17152234636.8715
Albania,ALB,"Population, total",SP.POP.TOTL,2913021,2905195,2860708,2816902,2773767,2731293,2689469,2648285,2607733,2567801,2528480,2489762,2451636,2411658
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,12086545641.299,12973755874.5365,12246499747.9714,12796985886.1478,13296322588.1684,11470171826.9575,11988668784.6628,13258268435.6048,15379508329.7568,15585111614.0376,15241458744.5927,18031989573.0294,19017247013.8821,23491242727.4082
Algeria,DZA,"Population, total",SP.POP.TOTL,36188236,36903376,37646166,38414171,39205031,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,177785053939.531,218331946925.304,227143746075.934,229701430292.157,238942664192.59,187493855609.345,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186231205262.082,225581644702.568,247923887214.655
American Samoa,ASM,"Population, total",SP.POP.TOTL,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761,49225,48342,47521
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,..
Andorra,AND,"Population, total",SP.POP.TOTL,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474,77380,78364,79705,80856
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3449925738.83334,3629133574.51363,3188652765.29297,3193512950.0157,3271685596.52156,2789881258.60547,2896610479.86771,3000162081.22353,3218419896.93333,3155149347.92156,2891001149.40079,3324647529.41855,3380612573.4825,3785067331.88242
Angola,AGO,"Population, total",SP.POP.TOTL,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,95546919754.2873,125551634704.941,143572907527.976,148845200696.335,153449860495.966,102543067840.819,60770049747.3832,85629598654.1906,90506061877.2765,81193813808.0382,58512033805.8981,78283923543.8237,128233959333.275,106042349567.303
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1298348148.14815,1287359259.25926,1364729629.62963,1325496296.2963,1378707407.40741,1437485185.18519,1489603703.7037,1534855555.55556,1661529629.62963,1726448148.14815,1411637037.03704,1602125925.92593,1857114814.81481,2054096296.2963
Argentina,ARG,"Population, total",SP.POP.TOTL,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,423627422092.49,530158122010.442,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036,633993756301.08,649461687959.174
Armenia,ARM,"Population, total",SP.POP.TOTL,3044800,3027900,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,9260285755.62424,10142111824.5835,10619320682.9474,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,24185982215.6543
Aruba,ABW,"Population, total",SP.POP.TOTL,101838,102591,104110,105675,106807,107906,108727,108735,108908,109203,108587,107700,107310,107359
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2453597206.70391,2637859217.87709,2615208379.88827,2727849162.01117,2790849720.67039,2962906703.91061,2983637430.1676,3092427932.96089,3276187709.49721,3347561738.94591,2461056053.22795,2889305033.55975,3326671314.7742,3746573413.07565
Australia,AUS,"Population, total",SP.POP.TOTL,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26018721,26659922
