country,year,mode,powertrain,ev_charging_points,ev_sales,ev_sales_share,ev_stock,ev_stock_share,electricity_demand_ev,iso_code,population,gdp,co2,co2_per_capita,co2_per_gdp,oil_co2,oil_co2_per_capita,coal_co2,coal_co2_per_capita,co2_per_unit_energy,primary_energy_consumption,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,electricity_generation,electricity_demand_tot,low_carbon_electricity,fossil_electricity,renewables_electricity,coal_electricity,gas_electricity,oil_electricity,nuclear_electricity,hydro_electricity,solar_electricity,wind_electricity,other_renewable_electricity,net_elec_imports
Australia,2011,Cars,BEV,0.0,49.0,0.0,49.0,0.0,0.0,AUS,22479779.0,1024000293343.0,403.874,17.966,0.394,129.836,5.776,192.232,8.551,259.126,1558.602,399.235,17.76,0.39,256.28,256.28,30.61,225.67,30.61,171.98,48.78,4.91,0.0,19.57,2.04,6.43,2.57,0.0
Australia,2011,Cars,EV,0.0,0.0,0.00650000013411,0.0,0.000390000001062,0.0,AUS,22479779.0,1024000293343.0,403.874,17.966,0.394,129.836,5.776,192.232,8.551,259.126,1558.602,399.235,17.76,0.39,256.28,256.28,30.61,225.67,30.61,171.98,48.78,4.91,0.0,19.57,2.04,6.43,2.57,0.0
Australia,2012,Cars,BEV,0.0,170.0,0.0,220.0,0.0,0.0,AUS,22852648.0,1062662906305.0,405.005,17.722,0.381,132.478,5.797,189.244,8.281,263.656,1536.113,413.163,18.079,0.389,250.66,250.66,30.27,220.39,30.27,165.38,49.81,5.2,0.0,17.04,2.41,7.72,3.1,0.0
Australia,2012,Cars,EV,0.0,0.0,0.029999999329448,0.0,0.002400000113994,0.0,AUS,22852648.0,1062662906305.0,405.005,17.722,0.381,132.478,5.797,189.244,8.281,263.656,1536.113,413.163,18.079,0.389,250.66,250.66,30.27,220.39,30.27,165.38,49.81,5.2,0.0,17.04,2.41,7.72,3.1,0.0
Australia,2012,Cars,PHEV,0.0,80.0,0.0,80.0,0.0,0.0,AUS,22852648.0,1062662906305.0,405.005,17.722,0.381,132.478,5.797,189.244,8.281,263.656,1536.113,413.163,18.079,0.389,250.66,250.66,30.27,220.39,30.27,165.38,49.81,5.2,0.0,17.04,2.41,7.72,3.1,0.0
Australia,2013,Cars,BEV,0.0,190.0,0.0,410.0,0.0,0.0,AUS,23236271.0,1086068056518.0,397.85,17.122,0.366,135.764,5.843,176.436,7.593,255.756,1555.586,386.215,16.621,0.356,249.56,249.56,35.53,214.03,35.53,155.45,52.72,5.86,0.0,19.09,3.85,9.26,3.33,0.0
Australia,2013,Cars,EV,0.0,0.0,0.034000001847744,0.0,0.004600000102073,0.0,AUS,23236271.0,1086068056518.0,397.85,17.122,0.366,135.764,5.843,176.436,7.593,255.756,1555.586,386.215,16.621,0.356,249.56,249.56,35.53,214.03,35.53,155.45,52.72,5.86,0.0,19.09,3.85,9.26,3.33,0.0
Australia,2013,Cars,PHEV,0.0,100.0,0.0,180.0,0.0,0.0,AUS,23236271.0,1086068056518.0,397.85,17.122,0.366,135.764,5.843,176.436,7.593,255.756,1555.586,386.215,16.621,0.356,249.56,249.56,35.53,214.03,35.53,155.45,52.72,5.86,0.0,19.09,3.85,9.26,3.33,0.0
Australia,2014,Cars,BEV,0.0,370.0,0.0,780.0,0.0,0.0,AUS,23595599.0,1113888062929.0,392.61,16.639,0.352,137.132,5.812,168.219,7.129,250.635,1566.458,384.508,16.296,0.345,247.65,247.65,32.76,214.89,32.76,155.23,53.66,6.0,0.0,14.48,4.95,9.78,3.55,0.0
Australia,2014,Cars,EV,0.0,0.0,0.159999996423721,0.0,0.014000000432134,0.0,AUS,23595599.0,1113888062929.0,392.61,16.639,0.352,137.132,5.812,168.219,7.129,250.635,1566.458,384.508,16.296,0.345,247.65,247.65,32.76,214.89,32.76,155.23,53.66,6.0,0.0,14.48,4.95,9.78,3.55,0.0
Australia,2014,Cars,PHEV,0.0,950.0,0.0,1100.0,0.0,0.0,AUS,23595599.0,1113888062929.0,392.61,16.639,0.352,137.132,5.812,168.219,7.129,250.635,1566.458,384.508,16.296,0.345,247.65,247.65,32.76,214.89,32.76,155.23,53.66,6.0,0.0,14.48,4.95,9.78,3.55,0.0
Australia,2015,Cars,BEV,0.0,760.0,0.0,1500.0,0.0,0.0,AUS,23947997.0,1139303344945.0,400.589,16.727,0.352,136.869,5.715,174.222,7.275,250.114,1601.626,387.226,16.169,0.34,253.99,253.99,35.8,218.19,35.8,162.2,49.71,6.28,0.0,14.09,6.2,11.83,3.68,0.0
Australia,2015,Cars,EV,0.0,0.0,0.200000002980232,0.0,0.027000000700355,0.0,AUS,23947997.0,1139303344945.0,400.589,16.727,0.352,136.869,5.715,174.222,7.275,250.114,1601.626,387.226,16.169,0.34,253.99,253.99,35.8,218.19,35.8,162.2,49.71,6.28,0.0,14.09,6.2,11.83,3.68,0.0
Australia,2015,Cars,PHEV,0.0,1000.0,0.0,2100.0,0.0,0.0,AUS,23947997.0,1139303344945.0,400.589,16.727,0.352,136.869,5.715,174.222,7.275,250.114,1601.626,387.226,16.169,0.34,253.99,253.99,35.8,218.19,35.8,162.2,49.71,6.28,0.0,14.09,6.2,11.83,3.68,0.0
Australia,2016,Cars,BEV,0.0,670.0,0.0,2200.0,0.0,0.0,AUS,24329963.0,1169967279612.0,409.666,16.838,0.35,136.761,5.621,179.594,7.382,254.944,1606.889,389.913,16.026,0.333,258.23,258.23,41.74,216.49,41.74,162.36,48.11,6.02,0.0,17.63,7.44,13.04,3.63,0.0
Australia,2016,Cars,EV,0.0,0.0,0.150000005960464,0.0,0.037000000476837,0.0,AUS,24329963.0,1169967279612.0,409.666,16.838,0.35,136.761,5.621,179.594,7.382,254.944,1606.889,389.913,16.026,0.333,258.23,258.23,41.74,216.49,41.74,162.36,48.11,6.02,0.0,17.63,7.44,13.04,3.63,0.0
Australia,2016,Cars,PHEV,0.0,700.0,0.0,2800.0,0.0,0.0,AUS,24329963.0,1169967279612.0,409.666,16.838,0.35,136.761,5.621,179.594,7.382,254.944,1606.889,389.913,16.026,0.333,258.23,258.23,41.74,216.49,41.74,162.36,48.11,6.02,0.0,17.63,7.44,13.04,3.63,0.0
Australia,2017,Cars,BEV,0.0,1200.0,0.0,3400.0,0.0,0.0,AUS,24731044.0,1197832839959.0,413.408,16.716,0.345,139.221,5.629,176.951,7.155,258.053,1602.028,396.015,16.013,0.331,258.97,258.97,39.19,219.78,39.19,159.17,55.09,5.52,0.0,13.5,8.92,13.21,3.56,0.0
Australia,2017,Cars,EV,0.0,0.0,0.259999990463257,0.0,0.052000001072884,0.0,AUS,24731044.0,1197832839959.0,413.408,16.716,0.345,139.221,5.629,176.951,7.155,258.053,1602.028,396.015,16.013,0.331,258.97,258.97,39.19,219.78,39.19,159.17,55.09,5.52,0.0,13.5,8.92,13.21,3.56,0.0
Australia,2017,Cars,PHEV,0.0,1100.0,0.0,3900.0,0.0,0.0,AUS,24731044.0,1197832839959.0,413.408,16.716,0.345,139.221,5.629,176.951,7.155,258.053,1602.028,396.015,16.013,0.331,258.97,258.97,39.19,219.78,39.19,159.17,55.09,5.52,0.0,13.5,8.92,13.21,3.56,0.0
Australia,2017,EV,Publicly available fast,40.0,0.0,0.0,0.0,0.0,0.0,AUS,24731044.0,1197832839959.0,413.408,16.716,0.345,139.221,5.629,176.951,7.155,258.053,1602.028,396.015,16.013,0.331,258.97,258.97,39.19,219.78,39.19,159.17,55.09,5.52,0.0,13.5,8.92,13.21,3.56,0.0
Australia,2017,EV,Publicly available slow,440.0,0.0,0.0,0.0,0.0,0.0,AUS,24731044.0,1197832839959.0,413.408,16.716,0.345,139.221,5.629,176.951,7.155,258.053,1602.028,396.015,16.013,0.331,258.97,258.97,39.19,219.78,39.19,159.17,55.09,5.52,0.0,13.5,8.92,13.21,3.56,0.0
Australia,2018,Cars,BEV,0.0,1800.0,0.0,5200.0,0.0,0.0,AUS,25119700.0,1231576952488.0,414.781,16.512,0.337,143.397,5.709,169.336,6.741,255.107,1625.908,386.381,15.382,0.314,262.63,262.63,49.49,213.14,49.49,156.56,51.46,5.12,0.0,17.31,12.33,16.26,3.59,0.0
Australia,2018,Cars,EV,0.0,0.0,0.419999986886978,0.0,0.076999999582768,0.0,AUS,25119700.0,1231576952488.0,414.781,16.512,0.337,143.397,5.709,169.336,6.741,255.107,1625.908,386.381,15.382,0.314,262.63,262.63,49.49,213.14,49.49,156.56,51.46,5.12,0.0,17.31,12.33,16.26,3.59,0.0
Australia,2018,Cars,PHEV,0.0,1800.0,0.0,5700.0,0.0,0.0,AUS,25119700.0,1231576952488.0,414.781,16.512,0.337,143.397,5.709,169.336,6.741,255.107,1625.908,386.381,15.382,0.314,262.63,262.63,49.49,213.14,49.49,156.56,51.46,5.12,0.0,17.31,12.33,16.26,3.59,0.0
Australia,2018,EV,Publicly available fast,61.0,0.0,0.0,0.0,0.0,0.0,AUS,25119700.0,1231576952488.0,414.781,16.512,0.337,143.397,5.709,169.336,6.741,255.107,1625.908,386.381,15.382,0.314,262.63,262.63,49.49,213.14,49.49,156.56,51.46,5.12,0.0,17.31,12.33,16.26,3.59,0.0
Australia,2018,EV,Publicly available slow,670.0,0.0,0.0,0.0,0.0,0.0,AUS,25119700.0,1231576952488.0,414.781,16.512,0.337,143.397,5.709,169.336,6.741,255.107,1625.908,386.381,15.382,0.314,262.63,262.63,49.49,213.14,49.49,156.56,51.46,5.12,0.0,17.31,12.33,16.26,3.59,0.0
Australia,2019,Cars,BEV,0.0,6300.0,0.0,12000.0,0.0,0.0,AUS,25482714.0,1255505542015.0,414.925,16.283,0.33,142.693,5.6,164.888,6.471,246.936,1680.293,383.647,15.055,0.306,265.9,265.9,55.26,210.64,55.26,149.84,55.71,5.09,0.0,14.02,18.3,19.47,3.47,0.0
Australia,2019,Cars,EV,0.0,0.0,1.20000004768372,0.0,0.140000000596046,0.0,AUS,25482714.0,1255505542015.0,414.925,16.283,0.33,142.693,5.6,164.888,6.471,246.936,1680.293,383.647,15.055,0.306,265.9,265.9,55.26,210.64,55.26,149.84,55.71,5.09,0.0,14.02,18.3,19.47,3.47,0.0
Australia,2019,Cars,PHEV,0.0,2900.0,0.0,8600.0,0.0,0.0,AUS,25482714.0,1255505542015.0,414.925,16.283,0.33,142.693,5.6,164.888,6.471,246.936,1680.293,383.647,15.055,0.306,265.9,265.9,55.26,210.64,55.26,149.84,55.71,5.09,0.0,14.02,18.3,19.47,3.47,0.0
Australia,2019,EV,Publicly available slow,1700.0,0.0,0.0,0.0,0.0,0.0,AUS,25482714.0,1255505542015.0,414.925,16.283,0.33,142.693,5.6,164.888,6.471,246.936,1680.293,383.647,15.055,0.306,265.9,265.9,55.26,210.64,55.26,149.84,55.71,5.09,0.0,14.02,18.3,19.47,3.47,0.0
Australia,2020,Cars,BEV,0.0,5200.0,0.0,17000.0,0.0,0.0,AUS,25743787.0,1232259790388.0,398.547,15.481,0.323,134.777,5.235,156.622,6.084,251.384,1585.412,374.332,14.541,0.304,265.15,265.15,64.28,200.87,64.28,142.93,53.05,4.89,0.0,14.42,23.84,22.61,3.41,0.0
Australia,2020,Cars,EV,0.0,0.0,1.10000002384186,0.0,0.180000007152557,0.0,AUS,25743787.0,1232259790388.0,398.547,15.481,0.323,134.777,5.235,156.622,6.084,251.384,1585.412,374.332,14.541,0.304,265.15,265.15,64.28,200.87,64.28,142.93,53.05,4.89,0.0,14.42,23.84,22.61,3.41,0.0
Australia,2020,Cars,PHEV,0.0,1700.0,0.0,10000.0,0.0,0.0,AUS,25743787.0,1232259790388.0,398.547,15.481,0.323,134.777,5.235,156.622,6.084,251.384,1585.412,374.332,14.541,0.304,265.15,265.15,64.28,200.87,64.28,142.93,53.05,4.89,0.0,14.42,23.84,22.61,3.41,0.0
Australia,2020,EV,Publicly available slow,2300.0,0.0,0.0,0.0,0.0,0.0,AUS,25743787.0,1232259790388.0,398.547,15.481,0.323,134.777,5.235,156.622,6.084,251.384,1585.412,374.332,14.541,0.304,265.15,265.15,64.28,200.87,64.28,142.93,53.05,4.89,0.0,14.42,23.84,22.61,3.41,0.0
Australia,2021,Cars,BEV,0.0,17000.0,0.0,34000.0,0.0,0.0,AUS,25956417.0,1296705194119.0,388.472,14.966,0.3,134.179,5.169,151.821,5.849,244.426,1589.323,363.135,13.99,0.28,267.45,267.45,77.27,190.18,77.27,137.4,47.63,5.15,0.0,15.94,31.19,26.8,3.34,0.0
Australia,2021,Cars,EV,0.0,0.0,2.79999995231628,0.0,0.319999992847443,0.0,AUS,25956417.0,1296705194119.0,388.472,14.966,0.3,134.179,5.169,151.821,5.849,244.426,1589.323,363.135,13.99,0.28,267.45,267.45,77.27,190.18,77.27,137.4,47.63,5.15,0.0,15.94,31.19,26.8,3.34,0.0
Australia,2021,Cars,FCEV,0.0,44.0,0.0,44.0,0.0,0.0,AUS,25956417.0,1296705194119.0,388.472,14.966,0.3,134.179,5.169,151.821,5.849,244.426,1589.323,363.135,13.99,0.28,267.45,267.45,77.27,190.18,77.27,137.4,47.63,5.15,0.0,15.94,31.19,26.8,3.34,0.0
Australia,2021,Cars,PHEV,0.0,3400.0,0.0,14000.0,0.0,0.0,AUS,25956417.0,1296705194119.0,388.472,14.966,0.3,134.179,5.169,151.821,5.849,244.426,1589.323,363.135,13.99,0.28,267.45,267.45,77.27,190.18,77.27,137.4,47.63,5.15,0.0,15.94,31.19,26.8,3.34,0.0
Australia,2021,EV,Publicly available fast,320.0,0.0,0.0,0.0,0.0,0.0,AUS,25956417.0,1296705194119.0,388.472,14.966,0.3,134.179,5.169,151.821,5.849,244.426,1589.323,363.135,13.99,0.28,267.45,267.45,77.27,190.18,77.27,137.4,47.63,5.15,0.0,15.94,31.19,26.8,3.34,0.0
Australia,2021,EV,Publicly available slow,2000.0,0.0,0.0,0.0,0.0,0.0,AUS,25956417.0,1296705194119.0,388.472,14.966,0.3,134.179,5.169,151.821,5.849,244.426,1589.323,363.135,13.99,0.28,267.45,267.45,77.27,190.18,77.27,137.4,47.63,5.15,0.0,15.94,31.19,26.8,3.34,0.0
Australia,2022,Cars,BEV,0.0,33000.0,0.0,67000.0,0.0,0.0,AUS,26200987.0,1344251444393.0,384.078,14.659,0.286,133.833,5.108,146.0,5.572,231.263,1660.79,365.08,13.934,0.272,272.92,272.92,87.44,185.48,87.44,129.21,50.82,5.45,0.0,16.66,37.54,30.05,3.19,0.0
Australia,2022,Cars,EV,0.0,0.0,5.09999990463257,0.0,0.589999973773956,0.0,AUS,26200987.0,1344251444393.0,384.078,14.659,0.286,133.833,5.108,146.0,5.572,231.263,1660.79,365.08,13.934,0.272,272.92,272.92,87.44,185.48,87.44,129.21,50.82,5.45,0.0,16.66,37.54,30.05,3.19,0.0
Australia,2022,Cars,FCEV,0.0,15.0,0.0,100.0,0.0,0.0,AUS,26200987.0,1344251444393.0,384.078,14.659,0.286,133.833,5.108,146.0,5.572,231.263,1660.79,365.08,13.934,0.272,272.92,272.92,87.44,185.48,87.44,129.21,50.82,5.45,0.0,16.66,37.54,30.05,3.19,0.0
Australia,2022,Cars,PHEV,0.0,5900.0,0.0,21000.0,0.0,0.0,AUS,26200987.0,1344251444393.0,384.078,14.659,0.286,133.833,5.108,146.0,5.572,231.263,1660.79,365.08,13.934,0.272,272.92,272.92,87.44,185.48,87.44,129.21,50.82,5.45,0.0,16.66,37.54,30.05,3.19,0.0
Australia,2022,EV,Publicly available fast,470.0,0.0,0.0,0.0,0.0,0.0,AUS,26200987.0,1344251444393.0,384.078,14.659,0.286,133.833,5.108,146.0,5.572,231.263,1660.79,365.08,13.934,0.272,272.92,272.92,87.44,185.48,87.44,129.21,50.82,5.45,0.0,16.66,37.54,30.05,3.19,0.0
