country,isoCode,continent,continentCode,year,halfDecade,pandemicPeriod,vehicleType,powertrain,evSales,evSalesShare,evStock,evStockShare,evElectricityDemand,evChargingPoints
Australia,AUS,Oceania,OC,2011,2010-2014,Pre-Pandemia,Cars,BEV,49.0,0.0,49.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2011,2010-2014,Pre-Pandemia,Cars,EV,0.0,0.00650000013411,0.0,0.000390000001062,0.0,0.0
Australia,AUS,Oceania,OC,2012,2010-2014,Pre-Pandemia,Cars,BEV,170.0,0.0,220.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2012,2010-2014,Pre-Pandemia,Cars,EV,0.0,0.029999999329448,0.0,0.002400000113994,0.0,0.0
Australia,AUS,Oceania,OC,2012,2010-2014,Pre-Pandemia,Cars,PHEV,80.0,0.0,80.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2013,2010-2014,Pre-Pandemia,Cars,BEV,190.0,0.0,410.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2013,2010-2014,Pre-Pandemia,Cars,EV,0.0,0.034000001847744,0.0,0.004600000102073,0.0,0.0
Australia,AUS,Oceania,OC,2013,2010-2014,Pre-Pandemia,Cars,PHEV,100.0,0.0,180.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2014,2010-2014,Pre-Pandemia,Cars,BEV,370.0,0.0,780.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2014,2010-2014,Pre-Pandemia,Cars,EV,0.0,0.159999996423721,0.0,0.014000000432134,0.0,0.0
Australia,AUS,Oceania,OC,2014,2010-2014,Pre-Pandemia,Cars,PHEV,950.0,0.0,1100.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2015,2015-2019,Pre-Pandemia,Cars,BEV,760.0,0.0,1500.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2015,2015-2019,Pre-Pandemia,Cars,EV,0.0,0.200000002980232,0.0,0.027000000700355,0.0,0.0
Australia,AUS,Oceania,OC,2015,2015-2019,Pre-Pandemia,Cars,PHEV,1000.0,0.0,2100.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2016,2015-2019,Pre-Pandemia,Cars,BEV,670.0,0.0,2200.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2016,2015-2019,Pre-Pandemia,Cars,EV,0.0,0.150000005960464,0.0,0.037000000476837,0.0,0.0
Australia,AUS,Oceania,OC,2016,2015-2019,Pre-Pandemia,Cars,PHEV,700.0,0.0,2800.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2017,2015-2019,Pre-Pandemia,Cars,BEV,1200.0,0.0,3400.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2017,2015-2019,Pre-Pandemia,Cars,EV,0.0,0.259999990463257,0.0,0.052000001072884,0.0,0.0
Australia,AUS,Oceania,OC,2017,2015-2019,Pre-Pandemia,Cars,PHEV,1100.0,0.0,3900.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2017,2015-2019,Pre-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,40.0
Australia,AUS,Oceania,OC,2017,2015-2019,Pre-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,440.0
Australia,AUS,Oceania,OC,2018,2015-2019,Pre-Pandemia,Cars,BEV,1800.0,0.0,5200.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2018,2015-2019,Pre-Pandemia,Cars,EV,0.0,0.419999986886978,0.0,0.076999999582768,0.0,0.0
Australia,AUS,Oceania,OC,2018,2015-2019,Pre-Pandemia,Cars,PHEV,1800.0,0.0,5700.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2018,2015-2019,Pre-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,61.0
Australia,AUS,Oceania,OC,2018,2015-2019,Pre-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,670.0
Australia,AUS,Oceania,OC,2019,2015-2019,Pre-Pandemia,Cars,BEV,6300.0,0.0,12000.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2019,2015-2019,Pre-Pandemia,Cars,EV,0.0,1.20000004768372,0.0,0.140000000596046,0.0,0.0
Australia,AUS,Oceania,OC,2019,2015-2019,Pre-Pandemia,Cars,PHEV,2900.0,0.0,8600.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2019,2015-2019,Pre-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,1700.0
Australia,AUS,Oceania,OC,2020,2020-2023,Pandemia,Cars,BEV,5200.0,0.0,17000.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2020,2020-2023,Pandemia,Cars,EV,0.0,1.10000002384186,0.0,0.180000007152557,0.0,0.0
Australia,AUS,Oceania,OC,2020,2020-2023,Pandemia,Cars,PHEV,1700.0,0.0,10000.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2020,2020-2023,Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,2300.0
Australia,AUS,Oceania,OC,2021,2020-2023,Pandemia,Cars,BEV,17000.0,0.0,34000.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2021,2020-2023,Pandemia,Cars,EV,0.0,2.79999995231628,0.0,0.319999992847443,0.0,0.0
Australia,AUS,Oceania,OC,2021,2020-2023,Pandemia,Cars,FCEV,44.0,0.0,44.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2021,2020-2023,Pandemia,Cars,PHEV,3400.0,0.0,14000.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2021,2020-2023,Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,320.0
Australia,AUS,Oceania,OC,2021,2020-2023,Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,2000.0
Australia,AUS,Oceania,OC,2022,2020-2023,Post-Pandemia,Cars,BEV,33000.0,0.0,67000.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2022,2020-2023,Post-Pandemia,Cars,EV,0.0,5.09999990463257,0.0,0.589999973773956,0.0,0.0
Australia,AUS,Oceania,OC,2022,2020-2023,Post-Pandemia,Cars,FCEV,15.0,0.0,100.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2022,2020-2023,Post-Pandemia,Cars,PHEV,5900.0,0.0,21000.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2022,2020-2023,Post-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,470.0
Australia,AUS,Oceania,OC,2022,2020-2023,Post-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,2100.0
Australia,AUS,Oceania,OC,2023,2020-2023,Post-Pandemia,Cars,BEV,87000.0,0.0,150000.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2023,2020-2023,Post-Pandemia,Cars,EV,0.0,12.0,0.0,1.20000004768372,0.0,0.0
Australia,AUS,Oceania,OC,2023,2020-2023,Post-Pandemia,Cars,FCEV,6.0,0.0,65.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2023,2020-2023,Post-Pandemia,Cars,PHEV,11000.0,0.0,31000.0,0.0,0.0,0.0
Australia,AUS,Oceania,OC,2023,2020-2023,Post-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,660.0
Australia,AUS,Oceania,OC,2023,2020-2023,Post-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,2100.0
